Year,Roth IRA,Trad IRA,Roth 401k,Trad 401k,Savings,Taxable,Debt
0,65056.44825967316,0.0,0.0,115331.16702154583,12276.404999999999,0.0,0.0
1,75816.84789752345,0.0,0.0,153308.56804022426,24993.981299999985,0.0,0.0
2,87330.47551002324,0.0,0.0,199132.238273546,35885.12685399996,0.0,0.0
3,100167.26107703747,0.0,0.0,249029.12357630776,46678.95746019998,0.0,0.0
4,120626.27391505528,0.0,0.0,302775.61002012837,51750.276918168776,0.0,0.0
5,142517.41765173434,0.0,0.0,361167.05298435985,57262.34739179394,0.0,0.0
6,165940.94144998095,0.0,0.0,424537.49857565947,63234.899980632894,0.0,0.0
7,191004.1119141048,0.0,0.0,492727.3977649538,70044.14550222947,0.0,0.0
8,218856.1123539962,0.0,0.0,566600.6727362878,76354.78548789823,0.0,0.0
9,248657.75282468,0.0,0.0,646047.5498903946,83544.02339440912,0.0,0.0
10,280545.50812831166,0.0,0.0,731985.2234979278,91277.57603392722,0.0,0.0
11,314665.4063031975,0.0,0.0,824878.1378278984,99577.68522447796,0.0,0.0
12,351173.6973503254,0.0,0.0,924706.3012657531,102947.6858854047,6077.606301494204,0.0
13,391271.97681403114,0.0,0.0,1032482.9946652957,105256.14775831088,13278.044715835393,0.0
14,434177.1358401962,0.0,0.0,1148775.4953411247,107618.26411333111,21585.467594326245,0.0
15,480085.65599819296,0.0,0.0,1274191.0680180248,110035.33259744737,31101.32610164538,0.0
16,529207.7725672494,0.0,0.0,1408862.5672998184,112508.68354730147,42302.99525642869,0.0
17,581768.4372961398,0.0,0.0,1553966.8485993843,115039.68084508978,54965.353388653704,0.0
18,639042.7565993314,0.0,0.0,1710246.243911398,117629.72279763913,68181.95991348094,0.0
19,700326.2782537465,0.0,0.0,1877978.1531673663,120280.24303930892,83420.60015003764,0.0
20,765899.6464239705,0.0,0.0,2058494.1192697142,122992.71145938359,100481.5224458974,0.0
21,836063.1503661101,0.0,0.0,2252702.0144738695,125768.6351546384,119519.87987228007,0.0
22,912172.5076274786,0.0,0.0,2461573.5961354417,128609.55940778034,139667.92991611004,0.0
23,991768.7326747059,0.0,0.0,2681176.971519096,131517.0686924866,161775.53218037073,0.0
24,1074777.5059500674,0.0,0.0,2910880.6358568426,134492.78770578347,186286.93705825135,0.0
25,1161098.8301940614,0.0,0.0,3150981.552698829,137538.38242852973,212928.2107880326,0.0
26,1251636.5668263964,0.0,0.0,3401218.1014872766,140655.5612147898,240732.0024167885,0.0
27,1345266.895089757,0.0,0.0,3661250.915632728,143846.07591090578,270722.80950043583,0.0
28,1441807.017858661,0.0,0.0,3930660.4748344473,147111.72300509867,302946.7138433779,0.0
29,1541045.345772024,0.0,0.0,4208945.340259029,150454.34480845468,337439.91010853305,0.0
30,1624261.7944437133,0.0,0.0,4205131.523593087,150454.34480845468,355661.6652543938,0.0
31,1711971.931343674,0.0,0.0,4195914.430992203,150454.34480845468,374867.3951781311,0.0
32,1804418.4156362324,0.0,0.0,4180875.3232578244,150454.34480845468,395110.2345177502,0.0
33,1901857.010080589,0.0,0.0,4159569.389400658,150454.34480845468,416446.18718170875,0.0
34,2004557.288624941,0.0,0.0,4131524.2327413736,150454.34480845468,438934.281289521,0.0
35,2112803.3822106877,0.0,0.0,4096238.2716672765,150454.34480845468,462636.7324791552,0.0
36,2226894.764850065,0.0,0.0,4053179.0503056035,150454.34480845468,487619.11603302957,0.0
37,2347147.082151969,0.0,0.0,4001781.4541131654,150454.34480845468,513950.54829881317,0.0
38,2473893.0245881756,0.0,0.0,3941445.8251068913,150454.34480845468,541703.8779069491,0.0
39,2607483.247915937,0.0,0.0,3871535.971169595,150454.34480845468,570955.8873139244,0.0
40,2748287.3433033978,0.0,0.0,3827575.227747213,150454.34480845468,601787.5052288764,0.0
41,2896694.859841781,0.0,0.0,3776052.372236165,150454.34480845468,634284.0305112357,0.0
42,3053116.3822732377,0.0,0.0,3716450.175615725,150454.34480845468,668535.3681588424,0.0
43,3217984.6669159927,0.0,0.0,3648221.0965855247,150454.34480845468,704636.2780394199,0.0
44,3391755.8389294567,0.0,0.0,3689530.1711505656,150454.34480845468,742686.6370535486,0.0
45,3574910.6542316475,0.0,0.0,3729806.5793941715,150454.34480845468,782791.7154544402,0.0
46,3767955.8295601564,0.0,0.0,3768923.311845829,150454.34480845468,825062.4680889801,0.0
47,3971425.444356405,0.0,0.0,3806744.836479345,150454.34480845468,869615.841365785,0.0
48,4185882.418351651,0.0,0.0,3843126.595648577,150454.34480845468,916575.0967995374,0.0
49,4411920.068942641,0.0,0.0,3877914.474618149,150454.34480845468,966070.1520267125,0.0
50,4650163.752665544,0.0,0.0,3910944.240115192,150454.34480845468,1018237.9402361551,0.0
51,4901272.595309484,0.0,0.0,3942040.947241732,150454.34480845468,1073222.7890089075,0.0
52,5165941.315456196,0.0,0.0,3971018.3129962273,150454.34480845468,1131176.8196153885,0.0
53,5444902.146490831,0.0,0.0,3997678.054556647,150454.34480845468,1192260.3678746196,0.0
54,5738926.862401336,0.0,0.0,4021809.190376139,150454.34480845468,1256642.427739849,0.0
55,6048828.912971009,0.0,0.0,4043187.3020354537,150454.34480845468,1324501.118837801,0.0
56,6375465.674271443,0.0,0.0,4061573.754683579,150454.34480845468,1396024.1792550425,0.0
57,6719740.820682101,0.0,0.0,4076714.8737791586,150454.34480845468,1471409.4849348147,0.0
58,7082606.824998935,0.0,0.0,4088341.0757199526,150454.34480845468,1550865.5971212948,0.0
59,7465067.593548877,0.0,0.0,4096165.949815371,150454.34480845468,1634612.3393658448,0.0
60,7868181.243600517,0.0,0.0,4099885.288917748,150454.34480845468,1722881.4056916006,0.0
61,8293063.030754945,0.0,0.0,4099176.0658810013,150454.34480845468,1815917.0015989472,0.0
62,8740888.434415713,0.0,0.0,4093695.352860331,150454.34480845468,1913976.5196852905,0.0
63,9212896.409874162,0.0,0.0,4083079.1803031187,150454.34480845468,2017331.2517482962,0.0
64,9710392.816007366,0.0,0.0,4066941.332308848,150454.34480845468,2126267.1393427043,0.0
65,1.0234754028071765E7,0.0,0.0,4044872.0748540694,150454.34480845468,2241085.5648672106,0.0
66,1.0787430745587641E7,0.0,0.0,4016436.8131867703,150454.34480845468,2362104.18537004,0.0
67,1.1369952005849374E7,0.0,0.0,3981174.674492396,150454.34480845468,2489657.811380022,0.0
68,1.1983929414165242E7,0.0,0.0,3938597.011720631,150454.34480845468,2624099.3331945436,0.0
69,1.2631061602530165E7,0.0,0.0,3888185.824237306,150454.34480845468,2765800.6971870493,0.0
70,1.3313138929066794E7,0.0,0.0,3829392.090728841,150454.34480845468,2915153.93483515,0.0
71,1.4032048431236401E7,0.0,0.0,3761634.0095367073,150454.34480845468,3072572.2473162482,0.0
72,1.4789779046523167E7,0.0,0.0,3684295.141335949,150454.34480845468,3238491.1486713258,0.0
73,1.5588427115035418E7,0.0,0.0,3596722.4487939184,150454.34480845468,3413369.6706995773,0.0
74,1.643020217924733E7,0.0,0.0,3498224.227552453,150454.34480845468,3597691.632917355,0.0
75,1.731743309692669E7,0.0,0.0,3388067.9225677936,150454.34480845468,3791966.981094892,0.0
